epoch,accuracy,loss,val_accuracy,val_loss
0,0.801111102104187,0.5830268859863281,0.7795555591583252,0.765336275100708
1,0.9166666865348816,0.2788638472557068,0.9164444208145142,0.30974066257476807
2,0.9366666674613953,0.20425793528556824,0.9679999947547913,0.13075324892997742
3,0.9473333358764648,0.1693163812160492,0.9724444150924683,0.09290654212236404
4,0.9539999961853027,0.14457102119922638,0.97688889503479,0.08218875527381897
5,0.9628888964653015,0.11901435256004333,0.9795555472373962,0.07371583580970764
6,0.9606666564941406,0.11813312768936157,0.9795555472373962,0.06570933014154434
7,0.9682222008705139,0.10168476402759552,0.9760000109672546,0.06470120698213577
8,0.9639999866485596,0.10729605704545975,0.9795555472373962,0.05638090521097183
9,0.9646666646003723,0.10880894958972931,0.984000027179718,0.050074730068445206
10,0.9724444150924683,0.09417879581451416,0.9831110835075378,0.04936227202415466
11,0.973111093044281,0.08703288435935974,0.9822221994400024,0.053693849593400955
12,0.9722222089767456,0.09178199619054794,0.9760000109672546,0.06487347930669785
13,0.9742222428321838,0.07931134104728699,0.9857777953147888,0.04642457515001297
14,0.9735555648803711,0.08314775675535202,0.9857777953147888,0.04778549447655678
15,0.975777804851532,0.08166589587926865,0.9795555472373962,0.05251529440283775
16,0.975777804851532,0.0760141983628273,0.9866666793823242,0.04288667067885399
17,0.9775555729866028,0.07137693464756012,0.9866666793823242,0.04102874919772148
18,0.9784444570541382,0.07031820714473724,0.9875555634498596,0.037806376814842224
19,0.9779999852180481,0.06487482786178589,0.984000027179718,0.046756334602832794
20,0.9755555391311646,0.07268062978982925,0.9777777791023254,0.05906420946121216
21,0.9773333072662354,0.06766311079263687,0.9875555634498596,0.03496263176202774
22,0.9751111268997192,0.07575404644012451,0.9760000109672546,0.06706494837999344
23,0.9762222170829773,0.0686158686876297,0.9866666793823242,0.042879149317741394
24,0.9771111011505127,0.07198718190193176,0.9866666793823242,0.03611970320343971
25,0.9779999852180481,0.06398390978574753,0.9857777953147888,0.04040678218007088
26,0.9786666631698608,0.06520555168390274,0.9875555634498596,0.03788642957806587
27,0.9791111350059509,0.06184205412864685,0.9902222156524658,0.035140179097652435
28,0.9797777533531189,0.05730312690138817,0.9893333315849304,0.035850901156663895
29,0.9806666374206543,0.057354673743247986,0.9893333315849304,0.036039795726537704
30,0.9775555729866028,0.0653817355632782,0.9902222156524658,0.035347770899534225
31,0.981333315372467,0.0586312860250473,0.9875555634498596,0.031417567282915115
32,0.9815555810928345,0.05528217926621437,0.9875555634498596,0.026463109999895096
33,0.9800000190734863,0.05980857461690903,0.9866666793823242,0.03425212204456329
34,0.9779999852180481,0.06314654648303986,0.9911110997200012,0.025808513164520264
35,0.9804444313049316,0.06163601204752922,0.988444447517395,0.03496836498379707
36,0.9793333411216736,0.06477140635251999,0.9893333315849304,0.025113044306635857
37,0.9793333411216736,0.061506692320108414,0.9893333315849304,0.026025384664535522
38,0.984666645526886,0.05475027486681938,0.988444447517395,0.028726721182465553
39,0.9811111092567444,0.05360860750079155,0.9591110944747925,0.11779219657182693
40,0.9826666712760925,0.05295810103416443,0.988444447517395,0.02431624010205269
41,0.9833333492279053,0.05339554697275162,0.9893333315849304,0.022455338388681412
42,0.9824444651603699,0.056173838675022125,0.9893333315849304,0.02302863821387291
43,0.984666645526886,0.04976126551628113,0.9911110997200012,0.027640819549560547
44,0.9826666712760925,0.0476289726793766,0.9911110997200012,0.024207230657339096
45,0.9788888692855835,0.057508647441864014,0.988444447517395,0.022960446774959564
46,0.9808889031410217,0.06068724766373634,0.992888867855072,0.020614558830857277
47,0.9806666374206543,0.05866806209087372,0.9875555634498596,0.034229934215545654
48,0.981333315372467,0.061187323182821274,0.9893333315849304,0.028479037806391716
49,0.9804444313049316,0.058003019541502,0.9831110835075378,0.0357869528234005
50,0.9831110835075378,0.051322296261787415,0.988444447517395,0.02920752577483654
51,0.9791111350059509,0.0585622638463974,0.9911110997200012,0.03074667789041996
52,0.9842222332954407,0.052081309258937836,0.9946666955947876,0.017966199666261673
53,0.9842222332954407,0.05349001660943031,0.9937777519226074,0.017305543646216393
